lang,noise,SP,HIP,HCP,OPT,NS,NT,WHM,PI,TM,VtoI,ItoC,AH,QInv,threshold,rate,numberofsentences,conservativerate,timestamp,duration
611,0,0.0,0.0,0.0,3.0188831771100583e-09,3.888105503530142e-06,1.024400268986189e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9801913947551127,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.712023,0:00:11.605770
611,0,0.0,0.0,0.0,2.6787682190950356e-09,3.3885009821737606e-06,9.48938019908569e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9988600844541441,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.719024,0:00:11.597178
611,0,0.0,0.0,0.0,2.602180680349473e-09,3.260491683741351e-06,8.539025709419368e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9982948595599663,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.723129,0:00:11.592115
611,0,0.0,0.0,0.0,2.1571824007609724e-09,3.0309004426151032e-06,8.642137229436497e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9970434925681398,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.723534,0:00:11.579147
611,0,0.0,0.0,0.0,2.75485296641623e-09,3.3969849563474083e-06,8.16727884785046e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.993616318290616,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.725405,0:00:11.596092
611,0,0.0,0.0,0.0,2.373407791383158e-09,3.110757461602406e-06,7.4195008129351776e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9948970925899229,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.726611,0:00:11.570245
611,0,0.0,0.0,0.0,2.411697388977803e-09,3.1546253927937326e-06,8.759626726146622e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9944958222703134,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.727090,0:00:11.593223
611,0,0.0,0.0,0.0,2.6481312251327038e-09,3.505720764476453e-06,7.945684171445786e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9990344612624341,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.727339,0:00:11.576337
611,0,0.0,0.0,0.0,2.5672786339448584e-09,3.110757461602406e-06,7.51285012981515e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9969509711469111,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.729779,0:00:11.607786
611,0,0.0,0.0,0.0,2.0529762036358866e-09,2.9842721308882338e-06,8.077908872403662e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9930242387662671,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.730697,0:00:11.592067
611,0,0.0,0.0,0.0,2.894685445117436e-09,3.525060198622861e-06,7.4009706003828135e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9843171834417267,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.734859,0:00:11.579114
611,0,0.0,0.0,0.0,2.621775322556477e-09,3.366541680571161e-06,8.237014108213127e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9991967337341607,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.738033,0:00:11.620377
611,0,0.0,0.0,0.0,2.6720779921202224e-09,2.7908302139039263e-06,8.138736214382952e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9997819484846463,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.748550,0:00:11.595046
611,0,0.0,0.0,0.0,3.026441719085581e-09,3.6799834957733905e-06,8.348995972915739e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9983765019197348,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.753791,0:00:11.603760
611,0,0.0,0.0,0.0,2.7686651863583365e-09,3.078257307020529e-06,8.816764080576469e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9951020741868044,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.757803,0:00:11.569198
611,0,0.0,0.0,0.0,3.0188831771100583e-09,3.6378956319045358e-06,8.81235569853618e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9940341270505598,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.763603,0:00:11.616688
611,0,0.0,0.0,0.0,3.25244032983365e-09,4.228904723496037e-06,1.0678184296375907e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9937295808896555,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.767788,0:00:11.590289
611,0,0.0,0.0,0.0,2.7479727176899005e-09,3.1029883409545793e-06,8.33231050028989e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9994481595095587,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.770038,0:00:11.626734
611,0,0.0,0.0,0.0,2.3252363326579254e-09,3.017288636926721e-06,8.799143773153606e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9994239197302344,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.779062,0:00:11.613762
611,0,0.0,0.0,0.0,2.3900841143695903e-09,3.189526602791407e-06,8.454039841816804e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9979993555846232,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.789074,0:00:11.604541
611,0,0.0,0.0,0.0,2.603482421560253e-09,3.2572320071805308e-06,8.130599512852623e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9969785640309595,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.795797,0:00:11.666109
611,0,0.0,0.0,0.0,2.6296544312176843e-09,3.334703047304541e-06,7.032894802899581e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.999091818914532,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.796167,0:00:11.575168
611,0,0.0,0.0,0.0,2.664071771758642e-09,3.2883309727765052e-06,9.126329124015418e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9925195644982215,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.797975,0:00:11.659563
611,0,0.0,0.0,0.0,2.3936728286571637e-09,2.9251649527445147e-06,8.15503405401691e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9987845264532726,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.798455,0:00:11.640222
611,0,0.0,0.0,0.0,2.9369748140925155e-09,3.560496546799198e-06,7.985522064322259e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9985037931689343,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.799351,0:00:11.607686
611,0,0.0,0.0,0.0,2.649455953109258e-09,3.3213875547083157e-06,8.73338067267755e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9962843226804398,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.800430,0:00:11.610452
611,0,0.0,0.0,0.0,2.7233457934187397e-09,3.2572320071805308e-06,1.01066038305319e-08,0.999999999999889,1.0,0.0,0.0,0.0,0.9986354634874959,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.805090,0:00:11.642804
611,0,0.0,0.0,0.0,3.067586068562785e-09,3.5232976685235496e-06,9.43731889144557e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9964660382973541,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.813102,0:00:11.623916
611,0,0.0,0.0,0.0,2.3439175190930225e-09,3.249097066172075e-06,8.33231050028989e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9918509537799712,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.853651,0:00:11.678102
611,0,0.0,0.0,0.0,3.0553371759313262e-09,3.820638844640181e-06,9.366786193437358e-09,0.999999999999889,1.0,0.0,0.0,0.0,0.9963584334914519,1.0,0.001,0.9,500000,0.0005,2020-07-30 10:50:23.853684,0:00:11.673634
